epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,0.25,,1.3483524322509766,,
0,99,,0.34375,,1.1945796012878418,,
0,149,,0.40625,,1.2375587224960327,,
0,199,,0.4375,,1.1953380107879639,,
0,249,,0.40625,,1.2842069864273071,,
0,299,,0.4375,,1.1470147371292114,,
0,349,,0.46875,,1.2961301803588867,,
0,399,,0.40625,,1.3648055791854858,,
0,449,,0.3125,,1.2910511493682861,,
0,499,,0.46875,,1.1480358839035034,,
0,549,,0.4375,,1.0871269702911377,,
0,599,,0.59375,,1.0521245002746582,,
0,649,,0.4375,,1.202280879020691,,
0,699,,0.46875,,1.1035865545272827,,
0,738,,,,,0.45980706810951233,1.1346453428268433
0,738,0.4220257103443146,,1.2040581703186035,,,
1,749,,0.40625,,1.1306804418563843,,
1,799,,0.40625,,1.2927600145339966,,
1,849,,0.46875,,1.1350297927856445,,
1,899,,0.5625,,1.114532232284546,,
1,949,,0.40625,,1.1541757583618164,,
1,999,,0.34375,,1.1117303371429443,,
1,1049,,0.3125,,1.2095675468444824,,
1,1099,,0.625,,0.9410425424575806,,
1,1149,,0.40625,,1.2004404067993164,,
1,1199,,0.375,,1.2104499340057373,,
1,1249,,0.625,,1.000038504600525,,
1,1299,,0.5,,1.10392427444458,,
1,1349,,0.53125,,1.161752462387085,,
1,1399,,0.59375,,1.0629103183746338,,
1,1449,,0.46875,,1.1760523319244385,,
1,1477,,,,,0.4831612706184387,1.0889410972595215
1,1477,0.46966493129730225,,1.1188894510269165,,,
2,1499,,0.375,,1.1709505319595337,,
2,1549,,0.625,,0.9321529269218445,,
2,1599,,0.59375,,1.1106140613555908,,
2,1649,,0.53125,,0.9964978694915771,,
2,1699,,0.4375,,1.1030080318450928,,
2,1749,,0.4375,,1.161586046218872,,
2,1799,,0.4375,,1.0568621158599854,,
2,1849,,0.5625,,0.9339593052864075,,
2,1899,,0.4375,,1.0689071416854858,,
2,1949,,0.625,,0.9345710873603821,,
2,1999,,0.40625,,1.1417852640151978,,
2,2049,,0.4375,,1.0695079565048218,,
2,2099,,0.53125,,1.0854820013046265,,
2,2149,,0.34375,,1.1189332008361816,,
2,2199,,0.46875,,1.1544264554977417,,
2,2216,,,,,0.4892536699771881,1.0797312259674072
2,2216,0.4784650504589081,,1.0968199968338013,,,
3,2249,,0.5,,1.0399811267852783,,
