epoch,step,train_acc_step,train_loss_step
0,49,1.0,1.1140851974487305
0,99,1.0,0.752970278263092
0,149,0.0,1.5141838788986206
0,199,0.0,1.4099891185760498
0,249,1.0,0.8147809505462646
0,299,1.0,0.9227972030639648
0,349,0.0,1.1881811618804932
0,399,0.0,1.811594009399414
0,449,0.0,1.5420904159545898
0,499,0.0,1.582939624786377
0,549,0.0,1.0443357229232788
0,599,0.0,1.857172966003418
0,649,1.0,0.8994547724723816
0,699,0.0,1.034244179725647
0,749,1.0,0.5473703742027283
0,799,1.0,0.6800861358642578
0,849,1.0,0.7240684032440186
0,899,1.0,0.7198629975318909
0,949,0.0,1.1289095878601074
0,999,0.0,1.8151541948318481
0,1049,0.0,1.0951361656188965
0,1099,1.0,1.0763224363327026
0,1149,0.0,1.0431550741195679
0,1199,0.0,1.5626471042633057
0,1249,1.0,0.6510904431343079
0,1299,0.0,1.1208807229995728
0,1349,1.0,0.9310204982757568
0,1399,1.0,0.7244777083396912
0,1449,0.0,1.1269450187683105
0,1499,1.0,0.8794857859611511
0,1549,1.0,0.47534891963005066
0,1599,0.0,1.580377221107483
0,1649,0.0,1.1073359251022339
0,1699,1.0,0.7335146069526672
0,1749,0.0,1.16478431224823
0,1799,1.0,0.784941554069519
0,1849,0.0,1.7325291633605957
0,1899,1.0,0.8423817753791809
0,1949,0.0,1.1826967000961304
0,1999,0.0,1.5978600978851318
0,2049,1.0,0.44550395011901855
0,2099,1.0,0.39690670371055603
0,2149,1.0,0.5355377197265625
0,2199,0.0,1.255406141281128
0,2249,0.0,1.1446110010147095
0,2299,0.0,1.5580480098724365
0,2349,1.0,0.8039913177490234
0,2399,1.0,0.8170018196105957
0,2449,1.0,0.9427307844161987
0,2499,1.0,0.6865180730819702
0,2549,0.0,2.1334969997406006
0,2599,1.0,0.6443548798561096
0,2649,1.0,1.2090362310409546
